Epoch 1099/9999, Iters: 006600, loss: 0.0127, train_accuracy: 0.4464, time: 0.01 s/iter, learning rate: 0.001
Epoch 1116/9999, Iters: 006700, loss: 0.0098, train_accuracy: 0.4766, time: 0.01 s/iter, learning rate: 0.001
Epoch 1133/9999, Iters: 006800, loss: 0.0104, train_accuracy: 0.4297, time: 0.00 s/iter, learning rate: 0.001
Epoch 1149/9999, Iters: 006900, loss: 0.0078, train_accuracy: 0.4286, time: 0.01 s/iter, learning rate: 0.001
Epoch 1166/9999, Iters: 007000, loss: 0.0090, train_accuracy: 0.5000, time: 0.01 s/iter, learning rate: 0.001
Epoch 1183/9999, Iters: 007100, loss: 0.0070, train_accuracy: 0.4609, time: 0.00 s/iter, learning rate: 0.001
Epoch 1199/9999, Iters: 007200, loss: 0.1363, train_accuracy: 0.3393, time: 0.01 s/iter, learning rate: 0.001
Epoch 1216/9999, Iters: 007300, loss: 0.0176, train_accuracy: 0.4766, time: 0.01 s/iter, learning rate: 0.001
Epoch 1233/9999, Iters: 007400, loss: 0.0092, train_accuracy: 0.3828, time: 0.00 s/iter, learning rate: 0.001
Epoch 1249/9999, Iters: 007500, loss: 0.0076, train_accuracy: 0.4464, time: 0.01 s/iter, learning rate: 0.001
Epoch 1266/9999, Iters: 007600, loss: 0.0087, train_accuracy: 0.4531, time: 0.01 s/iter, learning rate: 0.001
Epoch 1283/9999, Iters: 007700, loss: 0.0082, train_accuracy: 0.3906, time: 0.00 s/iter, learning rate: 0.001
Epoch 1299/9999, Iters: 007800, loss: 0.0167, train_accuracy: 0.4018, time: 0.01 s/iter, learning rate: 0.001
Epoch 1316/9999, Iters: 007900, loss: 0.0135, train_accuracy: 0.4531, time: 0.01 s/iter, learning rate: 0.001
Epoch 1333/9999, Iters: 008000, loss: 0.0060, train_accuracy: 0.3516, time: 0.00 s/iter, learning rate: 0.001
Epoch 1349/9999, Iters: 008100, loss: 0.0105, train_accuracy: 0.4018, time: 0.01 s/iter, learning rate: 0.001
Epoch 1366/9999, Iters: 008200, loss: 0.0154, train_accuracy: 0.4531, time: 0.01 s/iter, learning rate: 0.001
